epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.222,1.97611,2.0832,1.17385,0.70746,0.53601,0.57192,0.30327,1.52143,1.06698,1.01699,0.000369369,0.000369369,0.000369369
2,448.002,1.57348,1.06078,1.03265,0.71434,0.56743,0.59843,0.32839,1.445,0.97759,1.01222,0.000703087,0.000703087,0.000703087
3,576.454,1.49673,0.99224,1.01894,0.75299,0.58384,0.63859,0.36475,1.36778,0.90319,0.98939,0.00100014,0.00100014,0.00100014
4,699.158,1.45859,0.95898,1.00959,0.76503,0.60204,0.65547,0.3721,1.34818,0.87751,0.98163,0.000946016,0.000946016,0.000946016
5,835.949,1.42308,0.92379,1.00184,0.74743,0.60019,0.65171,0.3691,1.3558,0.88637,0.9894,0.000891022,0.000891022,0.000891022
6,967.071,1.40707,0.90776,0.99612,0.75464,0.61037,0.66367,0.38347,1.30674,0.84745,0.97832,0.000836027,0.000836027,0.000836027
7,1127.93,1.38326,0.89047,0.99086,0.74501,0.62126,0.66441,0.37874,1.32733,0.86127,0.98754,0.000781033,0.000781033,0.000781033
8,1340.43,1.37736,0.88017,0.98769,0.77579,0.62937,0.68624,0.40191,1.26328,0.80783,0.96558,0.000726038,0.000726038,0.000726038
9,1516.1,1.36453,0.86868,0.98333,0.78874,0.63696,0.6971,0.41133,1.25619,0.78947,0.95827,0.000671044,0.000671044,0.000671044
10,1655.23,1.34021,0.85149,0.98065,0.77926,0.64267,0.69708,0.41216,1.24133,0.78432,0.95941,0.000616049,0.000616049,0.000616049
11,1817.95,1.29033,0.83938,0.98438,0.78045,0.63954,0.69364,0.40762,1.253,0.78999,0.96637,0.000561055,0.000561055,0.000561055
12,1935.81,1.27512,0.82395,0.98019,0.78678,0.643,0.7003,0.41897,1.22142,0.77736,0.95441,0.00050606,0.00050606,0.00050606
13,2052.93,1.26668,0.81583,0.97645,0.79496,0.64745,0.70739,0.42367,1.20741,0.76523,0.95247,0.000451066,0.000451066,0.000451066
